CrimeDate,CrimeTime,CrimeCode,Location,Description,Weapon,Post,District,Neighborhood,Location 1,crimeCaseNumber
3/27/16,417,1F,1300 BOYD ST,HOMICIDE,FIREARM,933,SOUTHERN,Union Square,"(39.2870700000, -76.6382700000)",
3/24/16,1514,1F,600 N AUGUSTA AV,HOMICIDE,FIREARM,844,SOUTHWESTERN,Edmondson Village,"(39.2943300000, -76.6850400000)",
3/22/16,1605,1F,400 N BOULDIN ST,HOMICIDE,FIREARM,224,SOUTHEASTERN,Ellwood Park/Monument,"(39.2961100000, -76.5713500000)",
3/22/16,2148,1F,1600 MAY CT,HOMICIDE,FIREARM,212,SOUTHEASTERN,Dunbar-Broadway,"(39.2941900000, -76.5958700000)",
3/19/16,848,1F,3400 ST AMBROSE AV,HOMICIDE,FIREARM,614,NORTHWESTERN,Central Park Heights,"(39.3413600000, -76.6710400000)",
3/18/16,2147,1F,1200 MC CULLOH ST,HOMICIDE,FIREARM,123,CENTRAL,Upton,"(39.3019200000, -76.6270200000)",
3/18/16,1045,1F,4500 E MONUMENT ST,HOMICIDE,FIREARM,333,EASTERN,Orangeville,"(39.2999200000, -76.5591300000)",
3/17/16,1722,1F,2100 W NORTH AV,HOMICIDE,FIREARM,731,WESTERN,Mondawmin,"(39.3097200000, -76.6515200000)",
3/16/16,1836,1F,2800 E PRESTON ST,HOMICIDE,FIREARM,332,EASTERN,Berea,"(39.3060000000, -76.5784300000)",
3/15/16,2105,1F,2400 E MONUMENT ST,HOMICIDE,FIREARM,221,EASTERN,McElderry Park,"(39.2987900000, -76.5828300000)",
3/13/16,1505,1F,1500 N GILMOR ST,HOMICIDE,FIREARM,742,WESTERN,Sandtown-Winchester,"(39.3054500000, -76.6433600000)",
3/12/16,1845,1F,2300 E CHASE ST,HOMICIDE,FIREARM,322,EASTERN,Biddle Street,"(39.3036300000, -76.5849700000)",
3/10/16,2315,1F,800 FILLMORE ST,HOMICIDE,FIREARM,513,NORTHERN,Better Waverly,"(39.3244700000, -76.6050500000)",
3/6/16,1911,1F,500 ORCHARD ST,HOMICIDE,FIREARM,143,CENTRAL,Seton Hill,"(39.2978000000, -76.6234600000)",
3/3/16,832,1F,2300 N FULTON AV,HOMICIDE,FIREARM,733,WESTERN,Penn North,"(39.3153100000, -76.6440000000)",
2/29/16,955,1F,1900 W BALTIMORE ST,HOMICIDE,FIREARM,714,WESTERN,Penrose/Fayette Street Outreach,"(39.2881800000, -76.6472000000)",
2/29/16,1727,1F,2800 W LAFAYETTE AV,HOMICIDE,FIREARM,721,WESTERN,Mosher,"(39.2980600000, -76.6638200000)",
2/26/16,2220,1F,800 E 22ND ST,HOMICIDE,FIREARM,342,EASTERN,East Baltimore Midway,"(39.3146100000, -76.6067000000)",
2/25/16,2131,1F,2500 W LANVALE ST,HOMICIDE,FIREARM,721,WESTERN,Evergreen Lawn,"(39.2968800000, -76.6567900000)",
2/23/16,934,1F,1000 E PATAPSCO AV,HOMICIDE,FIREARM,912,SOUTHERN,Fairfield Area,"(39.2342800000, -76.5956300000)",
2/21/16,204,1K,700 W LAFAYETTE AV,HOMICIDE,KNIFE,123,CENTRAL,Upton,"(39.2996300000, -76.6337100000)",
2/21/16,1327,1F,2300 DENISON ST,HOMICIDE,FIREARM,812,SOUTHWESTERN,Mount Holly,"(39.3131800000, -76.6744000000)",
2/21/16,2013,1F,1700 N HILTON ST,HOMICIDE,FIREARM,813,SOUTHWESTERN,Rosemont,"(39.3070000000, -76.6722300000)",
2/20/16,1338,1F,2300 W LAFAYETTE AV,HOMICIDE,FIREARM,723,WESTERN,Bridgeview/Greenlawn,"(39.2985500000, -76.6536800000)",
2/20/16,1338,1F,2300 W LAFAYETTE AV,HOMICIDE,FIREARM,723,WESTERN,Bridgeview/Greenlawn,"(39.2985500000, -76.6536800000)",
2/19/16,1239,1F,2300 AIKEN ST,HOMICIDE,FIREARM,342,EASTERN,East Baltimore Midway,"(39.3160500000, -76.5984200000)",
2/18/16,2303,1F,2700 PELHAM AV,HOMICIDE,FIREARM,432,NORTHEASTERN,Belair-Edison,"(39.3264900000, -76.5735800000)",
2/17/16,2102,1F,1900 N BENTALOU ST,HOMICIDE,FIREARM,731,WESTERN,Mondawmin,"(39.3099700000, -76.6541600000)",
2/15/16,341,1F,1900 E 31ST ST,HOMICIDE,FIREARM,411,NORTHEASTERN,Coldstream Homestead Montebello,"(39.3263200000, -76.5886500000)",
2/12/16,1935,1F,2100 W FAYETTE ST,HOMICIDE,FIREARM,714,WESTERN,Penrose/Fayette Street Outreach,"(39.2893900000, -76.6503600000)",
2/11/16,2000,1F,1900 CLIFTON AV,HOMICIDE,FIREARM,731,WESTERN,Mondawmin,"(39.3119500000, -76.6485000000)",
2/10/16,135,1F,500 S BOND ST,HOMICIDE,FIREARM,213,SOUTHEASTERN,Fells Point,"(39.2851300000, -76.5953100000)",
2/10/16,2118,1F,2500 WINCHESTER ST,HOMICIDE,FIREARM,723,WESTERN,Bridgeview/Greenlawn,"(39.3014900000, -76.6586300000)",
2/8/16,20,1F,700 N MILTON AV,HOMICIDE,FIREARM,323,EASTERN,Milton-Montford,"(39.2992100000, -76.5823600000)",
2/5/16,854,1F,3900 PENHURST AV,HOMICIDE,FIREARM,643,NORTHWESTERN,Dolfield,"(39.3386400000, -76.6815500000)",
2/5/16,1419,1F,1000 E NORTH AV,HOMICIDE,FIREARM,342,EASTERN,East Baltimore Midway,"(39.3116900000, -76.6049400000)",
2/4/16,206,1F,0 S MORLEY ST,HOMICIDE,FIREARM,842,SOUTHWESTERN,Saint Josephs,"(39.2855200000, -76.6754000000)",
2/3/16,2223,1F,700 N ROSE ST,HOMICIDE,FIREARM,323,EASTERN,Milton-Montford,"(39.2992400000, -76.5816500000)",
2/1/16,2145,1K,1500 PENTRIDGE RD,HOMICIDE,KNIFE,413,NORTHEASTERN,Stonewood-Pentwood-Winston,"(39.3475400000, -76.5895400000)",
1/29/16,1750,1F,1200 N Patterson Park Av,HOMICIDE,FIREARM,331,EASTERN,Broadway East,"(39.3047700000, -76.5855300000)",
1/26/16,2026,1K,0 N HIGHLAND AV,HOMICIDE,KNIFE,222,SOUTHEASTERN,Patterson Park Neighborhood,"(39.2928500000, -76.5694700000)",
